SITC Revision 2 Product Code,SITC Revision 2 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
51482,Carboxyimide-function compounds etc.,3511,Manufacture of basic industrial chemicals except fertilizer
51483,Acrylonitrile,3511,Manufacture of basic industrial chemicals except fertilizer
51484,Other nitrile-function compounds,3511,Manufacture of basic industrial chemicals except fertilizer
51485,"Diazo-,azo-,and azoxy-compounds",3511,Manufacture of basic industrial chemicals except fertilizer
51486,Organic derivatives of hydrazine/of hydroxylamine,3511,Manufacture of basic industrial chemicals except fertilizer
51489,Compounds with other nitrogen functions,3511,Manufacture of basic industrial chemicals except fertilizer
51551,Organo-mercury compounds,3511,Manufacture of basic industrial chemicals except fertilizer
51561,Lactams,3511,Manufacture of basic industrial chemicals except fertilizer
51569,Other heterocyclic compounds;nucleic acids,3511,Manufacture of basic industrial chemicals except fertilizer
51571,Sulphonamides,3511,Manufacture of basic industrial chemicals except fertilizer
51611,"Ethers,ether-alcohols,ether-phenols etc.",3511,Manufacture of basic industrial chemicals except fertilizer
51612,"Acetals,hemiacetals & single/complex oxygen-funct.",3511,Manufacture of basic industrial chemicals except fertilizer
51613,Ethylene oxide (oxirane),3511,Manufacture of basic industrial chemicals except fertilizer
51614,Propylene oxide,3511,Manufacture of basic industrial chemicals except fertilizer
51619,"Other epoxides,epoxyalcohols,epoxyphenols,etc.",3511,Manufacture of basic industrial chemicals except fertilizer
51621,"Aldehydes,aldehyde-alcohols,aldehyde-phenols,etc",3511,Manufacture of basic industrial chemicals except fertilizer
51622,"Halogenated,sulphonat.nitrat./nitrosat.derivatives",3511,Manufacture of basic industrial chemicals except fertilizer
51623,Acetone,3511,Manufacture of basic industrial chemicals except fertilizer
51624,Ethyl methyl ketone,3511,Manufacture of basic industrial chemicals except fertilizer
51629,"Other ketones,ketone-alcohols,ketone-phenols,etc.",3511,Manufacture of basic industrial chemicals except fertilizer
51631,"Phosphoric esters,their salts,& their derivatives",3511,Manufacture of basic industrial chemicals except fertilizer
51639,"Other inorganic esters,their salts & derivatives",3511,Manufacture of basic industrial chemicals except fertilizer
51691,Enzymes,3511,Manufacture of basic industrial chemicals except fertilizer
51692,"Sugars,chemically pure(other than sucrose,glucose)",3511,Manufacture of basic industrial chemicals except fertilizer
51699,Other organic compounds,3511,Manufacture of basic industrial chemicals except fertilizer
52211,"Oxygen,nitrogen,hydrogen and rare gases",3511,Manufacture of basic industrial chemicals except fertilizer
52212,"Selenium,tellurium,phosphorus,arsenic,silicon,etc.",3511,Manufacture of basic industrial chemicals except fertilizer
52213,Chlorine,3511,Manufacture of basic industrial chemicals except fertilizer
52214,"Fluorine,bromine and iodine",3511,Manufacture of basic industrial chemicals except fertilizer
52215,"Sulphur,sublimed or precipitated;colloidal sulphur",3511,Manufacture of basic industrial chemicals except fertilizer
52216,Mercury,3511,Manufacture of basic industrial chemicals except fertilizer
52217,Alkali and alkaline-earth metals;rare earth metals,3511,Manufacture of basic industrial chemicals except fertilizer
52218,"Carbon (including carbon black),n.e.s.",3529,Manufacture of chemical products not elsewhere classified
52221,Hydrochloric acid and chlorosulphuric acid,3511,Manufacture of basic industrial chemicals except fertilizer
52222,Sulphuric acid; oleum,3511,Manufacture of basic industrial chemicals except fertilizer
52223,Nitric acid;sulphonitric acids,3511,Manufacture of basic industrial chemicals except fertilizer
52224,"Phosphorus pentoxide and phosp.acids,meta/ortho/p.",3511,Manufacture of basic industrial chemicals except fertilizer
52225,Boric oxide and boric acid,3511,Manufacture of basic industrial chemicals except fertilizer
52229,Other inorganic acids & oxygen comp.of non-metals,3511,Manufacture of basic industrial chemicals except fertilizer
52231,"Halides,oxyhalides & oth.halog.comp.of non-metals",3511,Manufacture of basic industrial chemicals except fertilizer
52232,Sulphides of non-metals;phosphorus trisulphide,3511,Manufacture of basic industrial chemicals except fertilizer
52241,Zinc oxide and zinc peroxide,3511,Manufacture of basic industrial chemicals except fertilizer
52242,Chromium oxides and hydroxides,3511,Manufacture of basic industrial chemicals except fertilizer
52243,Manganese oxides,3511,Manufacture of basic industrial chemicals except fertilizer
52244,"Iron oxides & hydroxides,of >70% of fe2o3",3511,Manufacture of basic industrial chemicals except fertilizer
52245,Cobalt oxides and hydroxides,3511,Manufacture of basic industrial chemicals except fertilizer
52246,Titanium oxides,3511,Manufacture of basic industrial chemicals except fertilizer
52247,Lead oxides;red lead and orange lead,3511,Manufacture of basic industrial chemicals except fertilizer
52251,"Ammonia,anhydrous,or in aqueous solution",3511,Manufacture of basic industrial chemicals except fertilizer
52252,"Sodium hydroxide (caustic soda),solid",3511,Manufacture of basic industrial chemicals except fertilizer
52253,Sodium hydroxide in aqueous solution,3511,Manufacture of basic industrial chemicals except fertilizer
52254,Potassium hydroxide;peroxides of sodium/potassium,3511,Manufacture of basic industrial chemicals except fertilizer
52255,"Oxid.hydrox.& perox.of strontium,barium/magnesium",3511,Manufacture of basic industrial chemicals except fertilizer
52256,Aluminium hydroxide,3511,Manufacture of basic industrial chemicals except fertilizer
52257,Artificial corundum,3511,Manufacture of basic industrial chemicals except fertilizer
52259,Hydrazine & hydroxylamine & their inorganic salts,3511,Manufacture of basic industrial chemicals except fertilizer
52311,"Fluorides;fluorosilicates,fluoroborates and salts",3511,Manufacture of basic industrial chemicals except fertilizer
52312,Chlorides and oxychlorides,3511,Manufacture of basic industrial chemicals except fertilizer
52313,Chlorites and hypochlorites,3511,Manufacture of basic industrial chemicals except fertilizer
52314,Chlorates and perchlorates,3511,Manufacture of basic industrial chemicals except fertilizer
52315,Sulphides;polysulphides,3511,Manufacture of basic industrial chemicals except fertilizer
52316,Dithionites;sulphoxylates,3511,Manufacture of basic industrial chemicals except fertilizer
52317,Sulphites and thiosulphates,3511,Manufacture of basic industrial chemicals except fertilizer
52318,"Sodium sulphate,sod.hydrog.sulph.& sod.pyrosulpha.",3511,Manufacture of basic industrial chemicals except fertilizer
52319,Other sulphates(including alums)and persulphates,3511,Manufacture of basic industrial chemicals except fertilizer
52321,Nitrites and nitrates,3511,Manufacture of basic industrial chemicals except fertilizer
52322,"Phosphites,hypophosphites and phosphates",3511,Manufacture of basic industrial chemicals except fertilizer
52323,Neutral sodium carbonate,3511,Manufacture of basic industrial chemicals except fertilizer
52324,Carbonates and percarbonates,3511,Manufacture of basic industrial chemicals except fertilizer
52325,Cyanides and complex cyanides,3511,Manufacture of basic industrial chemicals except fertilizer
52326,"Fulminates,cyanates and thiocyanates",3511,Manufacture of basic industrial chemicals except fertilizer
52327,Silicates;commercial sodium & potassium silicates,3511,Manufacture of basic industrial chemicals except fertilizer
52328,Borates and perborates,3511,Manufacture of basic industrial chemicals except fertilizer
52329,"Salts & peroxysalts of inorganic acids,n.e.s.",3511,Manufacture of basic industrial chemicals except fertilizer
52331,"Salts of metallic acids (e.g.,chromates etc.",3511,Manufacture of basic industrial chemicals except fertilizer
52332,Colloidal precious metals;amalgams of prec.metals,3511,Manufacture of basic industrial chemicals except fertilizer
52391,"Hydrogen peroxide,(incl.solid hydrogen peroxide)",3511,Manufacture of basic industrial chemicals except fertilizer
52392,Phosphides,3511,Manufacture of basic industrial chemicals except fertilizer
52393,Calcium carbide,3511,Manufacture of basic industrial chemicals except fertilizer
52394,"Carbides,other than calcium carbide",3511,Manufacture of basic industrial chemicals except fertilizer
52395,"Hydrides,nitrides and azides,silicides and borides",3511,Manufacture of basic industrial chemicals except fertilizer
52399,"Other inorganic compounds,n.e.s.(liquid/comp.air)",3511,Manufacture of basic industrial chemicals except fertilizer
52491,"Isotopes and their coumpounds,inorganic or organic",3511,Manufacture of basic industrial chemicals except fertilizer
52492,"Compounds,inorganic/organic,of thorium,of uranium",3511,Manufacture of basic industrial chemicals except fertilizer
53121,"Synth.organ.products used as luminophores,indigo",3511,Manufacture of basic industrial chemicals except fertilizer
53122,Colour lakes,3511,Manufacture of basic industrial chemicals except fertilizer
53221,Tanning extracts of vegetable origin;tannins,3511,Manufacture of basic industrial chemicals except fertilizer
53222,Colouring matter of veget.origin/of animal origin,3511,Manufacture of basic industrial chemicals except fertilizer
53341,Water-thinned paints,3521,"Manufacture of paints, varnishes and lacquers"
53342,Other paints & enamels;varnishes & lacquers;n.e.s.,3521,"Manufacture of paints, varnishes and lacquers"
53344,Distempers;prepared water pigments;stamping foils,3521,"Manufacture of paints, varnishes and lacquers"
53351,"Prepared pigments,prepar.opacifiers & prep.colours",3511,Manufacture of basic industrial chemicals except fertilizer
53352,"Artists',students'and signboard painters'colours",9999,Goods not elsewhere classified
53353,Prepared driers,3521,"Manufacture of paints, varnishes and lacquers"
53354,Glaziers'putty;grafting putty;painters'fillings,3521,"Manufacture of paints, varnishes and lacquers"
54131,"Penicillins,their derivatives,not incl.in 541.7",3522,Manufacture of drugs and medicines
54132,"Streptomycins,their derivatives,not incl.in 541.7",3522,Manufacture of drugs and medicines
54133,"Tetracyclines,their derivatives,not incl.in 541.7",3522,Manufacture of drugs and medicines
54139,"Other antibiotics n.e.s.,not incl. in 541.7",3522,Manufacture of drugs and medicines
54151,"Insulin n.e.s.,not incl. in 541.7",3522,Manufacture of drugs and medicines
54152,"Pituitary (anterior) and similar hormones,no 541.7",3522,Manufacture of drugs and medicines
54153,"Adrenal cortical hormones n.e.s., no 541.7",3522,Manufacture of drugs and medicines
54159,"Other hormones,hormon.derivatives & other steroids",3522,Manufacture of drugs and medicines
54161,"Glycosid.,natur./reprod.by synthesis,& their salts",3522,Manufacture of drugs and medicines
54162,"Organo-therapeutic glands or other organs,dried",3522,Manufacture of drugs and medicines
54164,Antisera and microbial vaccines,3522,Manufacture of drugs and medicines
54171,Medicaments contain.antibiotics/derivativ.thereof,3522,Manufacture of drugs and medicines
54172,Medicaments contain.hormones but not antibiotics,3522,Manufacture of drugs and medicines
54173,Medic.cont.alkaloids but neith.hormon.nor antibio.,3522,Manufacture of drugs and medicines
54179,Medicaments containing other substances,3522,Manufacture of drugs and medicines
54191,"Wadding,gauze,bandages and similar articles",3851,"Manufacture of professional and scientific, and measuring and controlling equipment not elsewhere cl"
54199,Other pharmaceutical goods,3522,Manufacture of drugs and medicines
56211,Ammonium nitrate,3512,Manufacture of fertilizers and pesticides
56212,Ammonium sulphonitrate,3512,Manufacture of fertilizers and pesticides
56213,Ammonium sulphate,3512,Manufacture of fertilizers and pesticides
56215,Calcium cyanamide:not more than 25% wt.of nitrogen,3512,Manufacture of fertilizers and pesticides
56216,Urea,3512,Manufacture of fertilizers and pesticides
56219,"Mineral or chemical fertilizers,nitrogenous,n.e.s.",3512,Manufacture of fertilizers and pesticides
56221,Basic slag (thomas slag),3710,Iron and steel basic industries
56222,Superphosphates,3512,Manufacture of fertilizers and pesticides
56229,"Mineral or chemical fertilizers,phosphatic,n.e.s.",3512,Manufacture of fertilizers and pesticides
56231,Potassium chloride,3512,Manufacture of fertilizers and pesticides
56232,Potassium sulphate ;not more than 52% by wt.of k20,3512,Manufacture of fertilizers and pesticides
56239,"Mineral or chemical fertilizers,potassic,n.e.s.",3512,Manufacture of fertilizers and pesticides
56291,"Fertiliz.nes.contain.:nitrog.,phosphorus,potassium",3512,Manufacture of fertilizers and pesticides
56292,"Fertilizers,n.e.s.containing:nitrogen & phosphorus",3512,Manufacture of fertilizers and pesticides
56299,"Other fertilizers,n.e.s.;in tablets,lozenges etc.",3512,Manufacture of fertilizers and pesticides
57211,Propellent powders,3529,Manufacture of chemical products not elsewhere classified
57212,Prepared explosives(other than propellent powders),3529,Manufacture of chemical products not elsewhere classified
58211,Phenoplasts in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58221,Aminoplasts in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58231,Alkyds in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58232,"Alkyds in the form of plates,sheets,film,foil etc.",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58241,Polyamides in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58251,Polyurethanes in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58261,Epoxide resins in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58311,Polyethylene in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58312,"Polyethylene in the form of monofil,seamless tubes",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58313,"Polyethylene in the form of plates,sheets,film,etc",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58319,Polyethylene in the form of waste and scrap,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58321,Polypropylene in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58322,"Polypropylene in the form of plates,sheets,film",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58331,Polystyrene in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58333,"Polystyrene in the form of plates,sheets,film,foil",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58339,Polystyrene in the form of waste and scrap,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58341,Polyvinyl chloride in primary forms,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58342,"Polyvinyl chlor.in the form of monofil,sticks",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58343,"Polyvinyl chlor.in the form of plates.sheets,strip",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58349,Polyvinyl chloride in the form of waste and scrap,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58351,"Copo.of vinyl chloride & vinyl acet.,in prim.forms",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58361,"Acrylic polymers,etc.in primary forms",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58362,"Acryl.poly.etc.in the form of plates,sheets,strip",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58421,Cellulose nitrates non-plasticized,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58431,Cellulose acetates non plasticized,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58432,Cellulose acetates plasticized,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58491,"Other chemical derivativ.of cellulose,non-plastic.",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58492,"Other chemical derivativ.of cellulose,plasticized",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58493,Vulcanized fibre,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58521,Hardened proteins (hardened casein & hard.gelatin),3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
58522,"Alginic acid,its salts and esters",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
59141,Disinfectants packed for sale etc.,3512,Manufacture of fertilizers and pesticides
59149,Anti-sprout.prod.rat poisons etc.packed for sale,3512,Manufacture of fertilizers and pesticides
59211,Starches;inulin,3121,Manufacture of food products not elsewhere classified
59212,"Wheat gluten,whether or not dried",3121,Manufacture of food products not elsewhere classified
59221,"Casein,caseinates and other casein derivatives",3112,Manufacture of dairy products
59222,"Albumins,albuminates and other albumin derivatives",3121,Manufacture of food products not elsewhere classified
59223,Gelatin & gelat.derivatives;glues deriv.from bones,3529,Manufacture of chemical products not elsewhere classified
59224,Peptones & other protein substanc.& their derivat.,3511,Manufacture of basic industrial chemicals except fertilizer
59225,Dextrins & dextrin glues;soluble/roasted starches,3121,Manufacture of food products not elsewhere classified
59229,"Prepared glues,n.e.s.",3529,Manufacture of chemical products not elsewhere classified
59811,Tall oil,3511,Manufacture of basic industrial chemicals except fertilizer
59812,Concentrated sulphite lye,3411,"Manufacture of pulp, paper and paperboard"
59813,Spirits of turpentine and other terpenic solvents,3511,Manufacture of basic industrial chemicals except fertilizer
59814,"Rosin and resin acids,and derivatives thereof",3511,Manufacture of basic industrial chemicals except fertilizer
59819,Wood tar ; wood tar oils,3511,Manufacture of basic industrial chemicals except fertilizer
59831,Artificial waxes (including water-soluble waxes),3529,Manufacture of chemical products not elsewhere classified
59832,Artificial graphite ;colloidal graphite,3511,Manufacture of basic industrial chemicals except fertilizer
59833,Prepared rubber accelerators,3511,Manufacture of basic industrial chemicals except fertilizer
59891,"Prepared glazings,prepared dressings,prep.mordants",3529,Manufacture of chemical products not elsewhere classified
59892,Activated carbon;activat.natural mineral products,3511,Manufacture of basic industrial chemicals except fertilizer
59893,Prep.culture media for developm.of micro-organisms,3522,Manufacture of drugs and medicines
59894,Preparations and charges for fire extinguishers,3529,Manufacture of chemical products not elsewhere classified
59895,Modelling pastes(inc.those for children's amusent),3851,"Manufacture of professional and scientific, and measuring and controlling equipment not elsewhere cl"
59896,Pickling preparations for metal surfaces,3529,Manufacture of chemical products not elsewhere classified
59897,Composite solvents and thinners for varhishes etc.,3521,"Manufacture of paints, varnishes and lacquers"
59898,Compound catalysts,3540,Manufacture of miscellaneous products of petroleum and coal
59899,"Other chemical products and preparations,n.e.s",3511,Manufacture of basic industrial chemicals except fertilizer
61161,Goat and kid skin leather,3231,Tanneries and leather finishing
61169,"Leather,n.e.s.",3231,Tanneries and leather finishing
61181,Chamois-dressed leather,3231,Tanneries and leather finishing
61183,Patent leather and imitation patent leather,3231,Tanneries and leather finishing
62101,"Plates,sheets and strip,n.e.s.,of rubber",3559,Manufacture of rubber products not elsewhere classified
62102,Unvulcanized natural or synthetic rubber,3559,Manufacture of rubber products not elsewhere classified
62103,Vulcanized rubber thread and cord,3559,Manufacture of rubber products not elsewhere classified
62104,"Plates,sheets,strip,rods & profile shapes,of rubb.",3559,Manufacture of rubber products not elsewhere classified
62105,"Piping and tubing,of unhardened vulcanized rubber",3559,Manufacture of rubber products not elsewhere classified
62591,Inner tubes,3551,Tyre and tube industries
62599,"Tyres,n.e.s.,tyre cases,interchang.treads/flaps",3551,Tyre and tube industries
62898,"Articles of unhardened vulcanized rubber,n.e.s.",3559,Manufacture of rubber products not elsewhere classified
62899,"Articles of hardened rubber,n.e.s.",3559,Manufacture of rubber products not elsewhere classified
63301,Articles of natural cork,3319,Manufacture of wood and cork products not elsewhere classified
63302,Agglomerated cork & articles of agglomerated cork,3319,Manufacture of wood and cork products not elsewhere classified
63431,"Improved wood,in sheets,blocks or the like",3311,"Sawmille, planing and other wood mills"
63432,"Reconstituted wood in sheets,blocks or the like",3311,"Sawmille, planing and other wood mills"
63491,Hoopwood;split poles;pickets and stakes of wood,1220,Logging
63493,Wood wool and wood flour,3311,"Sawmille, planing and other wood mills"
63541,"Wooden picture frames,mirror frames and the like",3319,Manufacture of wood and cork products not elsewhere classified
63542,Household utensils of wood,3319,Manufacture of wood and cork products not elsewhere classified
63549,"Std.lamps,tabl.lamp.& lighting fittings of wood",3312,Manufacture of wooden and cane containers and small can ware
63591,"Wooden tools,tool bodies,tool handles,etc.of wood",3319,Manufacture of wood and cork products not elsewhere classified
63599,"Other articles of wood,n.e.s.",3311,"Sawmille, planing and other wood mills"
64121,Printing & writing paper uncoated,3411,"Manufacture of pulp, paper and paperboard"
64122,"Printing & writing paper coated,impregnated etc.",3411,"Manufacture of pulp, paper and paperboard"
64131,"Kraft liner,in rolls or sheets",3411,"Manufacture of pulp, paper and paperboard"
64132,"Sack kraft paper,in rolls or sheets",3411,"Manufacture of pulp, paper and paperboard"
64139,"Kraft paper & paperboard,in rolls or sheets,n.e.s.",3411,"Manufacture of pulp, paper and paperboard"
64151,"Semi-chemical fluting paper,in rolls or sheets",3411,"Manufacture of pulp, paper and paperboard"
64152,"Sulphite wrapping paper,in rolls or sheets",3411,"Manufacture of pulp, paper and paperboard"
64153,Parchment or greaseproof paper and paperboard,3411,"Manufacture of pulp, paper and paperboard"
64159,"Other paper and paperboard,in rolls or sheets,nes.",3411,"Manufacture of pulp, paper and paperboard"
64161,Building board compressed (hardboard),3411,"Manufacture of pulp, paper and paperboard"
64162,Building board non compressed (insulating board),3411,"Manufacture of pulp, paper and paperboard"
64171,"Kraft paper,creped/crinkled,whether/not perforated",3411,"Manufacture of pulp, paper and paperboard"
64172,"Paper,creped/crinkled,for household or toilet use",3411,"Manufacture of pulp, paper and paperboard"
64173,"Other creped/crinkl.paper,wheth./not embos./perfo.",3411,"Manufacture of pulp, paper and paperboard"
64174,"Paper & paperboard,corrugated,embossed/perforated",3411,"Manufacture of pulp, paper and paperboard"
64181,Paper & paperbd.coat./impregnat.with artifi.resins,3411,"Manufacture of pulp, paper and paperboard"
64182,"Paper & paperbd.tarred,bituminiz./asphalt.in rolls",3411,"Manufacture of pulp, paper and paperboard"
64189,"Paper & paperbd.impregnat.,coat.,surface-coloured",3411,"Manufacture of pulp, paper and paperboard"
64192,"Composite paper & paperbd.,not surface-coated etc.",3411,"Manufacture of pulp, paper and paperboard"
64196,"Filter blocks,slabs and plates,of paper pulp",3419,"Manufacture of pulp, paper and paperboard articles not elsewhere classified"
64197,Wallpaper & lincrusta;window transparencies paper,3419,"Manufacture of pulp, paper and paperboard articles not elsewhere classified"
64241,"Cigarette paper,cut to size",3419,"Manufacture of pulp, paper and paperboard articles not elsewhere classified"
64242,Carbon and other copying papers & transfer papers,3909,Manufacturing industries not elsewhere classified
64243,"Toilet paper,cut to size,in rolls or in sheets",3411,"Manufacture of pulp, paper and paperboard"
64244,Gummed or adhesive paper in strips or rolls,3411,"Manufacture of pulp, paper and paperboard"
64281,"Bobbins,spools & similar supports of paper pulp",3412,Manufacture of containers and boxes of paper and paperboard
64282,Cards for punched card machin.wheth./not in strips,3411,"Manufacture of pulp, paper and paperboard"
64283,"Trays,dishes,plates,cups & the like,of paper pulp",3411,"Manufacture of pulp, paper and paperboard"
64284,"Handkerchiefs,cleansing tissues,& oth.paper linen",3411,"Manufacture of pulp, paper and paperboard"
64285,Sanitary towels & tampons of paper/cellulo.wadding,3411,"Manufacture of pulp, paper and paperboard"
64289,"Other articles of paper pulp,paper,paperboard nes.",3411,"Manufacture of pulp, paper and paperboard"
65111,"Silk yarn,not put up for retail sale",3211,"Spinning, weawing and finishing textiles"
65116,"Yarn spun from noil/waste silk,not put up for sale",3211,"Spinning, weawing and finishing textiles"
65117,Silk yarn etc.or waste silk put up for retail sale,3211,"Spinning, weawing and finishing textiles"
65121,Wool tops,3211,"Spinning, weawing and finishing textiles"
65122,Yarn contain.85% wgt of carded wool not for sale,3211,"Spinning, weawing and finishing textiles"
65123,"Yarn contain.85% wgt of combed,wool not for sale",3211,"Spinning, weawing and finishing textiles"
65124,Yarn of fine anim.hair not put up for retail sale,3211,"Spinning, weawing and finishing textiles"
65125,Yarn of horsehair/coarse anim.hair not for sale,3211,"Spinning, weawing and finishing textiles"
65126,Yarn containing >85% of wool/fine animal hair,3211,"Spinning, weawing and finishing textiles"
65127,Card.wool contain.less than 85% wgt.not for sale,3211,"Spinning, weawing and finishing textiles"
65128,Comb.wool contain.less than 85% wgt.not for sale,3211,"Spinning, weawing and finishing textiles"
65129,Wool contain.less than 85% by wgt.put up for sale,3211,"Spinning, weawing and finishing textiles"
65131,Cotton yarn measur.14000m.p.kg.not for retail sale,3211,"Spinning, weawing and finishing textiles"
65132,"Cotton yarn,>14000 but <40000m per kg.",3211,"Spinning, weawing and finishing textiles"
65133,"Cotton yarn,>40000 but <80000m per kg.",3211,"Spinning, weawing and finishing textiles"
65134,Cotton yarn measur.80000m or more p.kg not f.sale,3211,"Spinning, weawing and finishing textiles"
65135,Cotton yarn put up for retail sale,3211,"Spinning, weawing and finishing textiles"
65141,"Yarn textured of continuous polyamide fibres,n.e.s",3211,"Spinning, weawing and finishing textiles"
65142,"Yarn non-textured of contin.polyamide fibres,n.e.s",3211,"Spinning, weawing and finishing textiles"
65143,Other non-textured yarn of contin.polyamide fibres,3211,"Spinning, weawing and finishing textiles"
65144,"Yarn textured,of continuous polyester fibres,n.e.s",3211,"Spinning, weawing and finishing textiles"
65147,Yarn of other continuous synth.fibres not for sale,3211,"Spinning, weawing and finishing textiles"
65148,Yarn contain.85% by wgt of discontin.synth.fibres,3211,"Spinning, weawing and finishing textiles"
65149,"Monofil,strip & imitatn.catgut,synth.fib.materials",3211,"Spinning, weawing and finishing textiles"
65151,Yarn of >85% continuous synthetic fibres,3211,"Spinning, weawing and finishing textiles"
65152,Yarn of >85% discontinuous synthetic fibres,3211,"Spinning, weawing and finishing textiles"
65166,"Yarn mixed mainly or solely with cotton,not f.sale",3211,"Spinning, weawing and finishing textiles"
65168,"Yarn mixed with fibres other than cotton,wool etc.",3211,"Spinning, weawing and finishing textiles"
65169,Yarn put up for retail sale,3211,"Spinning, weawing and finishing textiles"
65171,"Yarn of continuous viscose rayon,not for ret.sale",3211,"Spinning, weawing and finishing textiles"
65173,Yarn of oth.continuous regenerated textiles fibres,3211,"Spinning, weawing and finishing textiles"
65174,Yarn contain.85% by wgt.discontin.regenerat.fibres,3211,"Spinning, weawing and finishing textiles"
65175,"Yarn of discont.<85% regen.fibres,mixed w.cotton",3211,"Spinning, weawing and finishing textiles"
65178,Monofil & imitatn.catgut of regener.fibr.materials,3211,"Spinning, weawing and finishing textiles"
65191,"Metallized yarn,being textile yarn spun with metal",3211,"Spinning, weawing and finishing textiles"
65195,"Yarn,slivers and rovings of glass fibre",3211,"Spinning, weawing and finishing textiles"
65196,"Flax or ramie yarn,not put up for retail sale",3211,"Spinning, weawing and finishing textiles"
65199,"Yarn of other vegetable textile fibres,n.e.s.",3211,"Spinning, weawing and finishing textiles"
65212,"Terry towelling & similar,of cotton,unbleached etc",3211,"Spinning, weawing and finishing textiles"
65214,"Other woven fabrics contain.85% of cotton,unbleach",3211,"Spinning, weawing and finishing textiles"
65215,Oth.woven fabrics contain.less than 85% of cotton,3211,"Spinning, weawing and finishing textiles"
65221,"Cotton gauze,bleached,mercerized,dyed,printed etc",3211,"Spinning, weawing and finishing textiles"
65222,"Terry towelling & similar,of cotton bleached etc.",3211,"Spinning, weawing and finishing textiles"
65223,"Pile fabrics and chenille fabrics,woven,of cotton",3211,"Spinning, weawing and finishing textiles"
65224,Oth.woven fabrics cont.85% of cotton bleached etc.,3211,"Spinning, weawing and finishing textiles"
65225,Oth.woven fabrics cont.less than 85% of cot.bleach,3211,"Spinning, weawing and finishing textiles"
65314,Tyre cord fabric of contin.synth.textile materials,3211,"Spinning, weawing and finishing textiles"
65315,"Fabrics,woven,contain.85% of contin.synth.text.mat",3211,"Spinning, weawing and finishing textiles"
65341,Fabrics mixed mainly or solely with cotton,3211,"Spinning, weawing and finishing textiles"
65342,Fabrics mixed with wool or fine animal hair,3211,"Spinning, weawing and finishing textiles"
65343,Fabrics mixed with contin.man-made texti.materials,3211,"Spinning, weawing and finishing textiles"
65349,Fabrics mixed with fibres oth.than cotton.wool etc,3211,"Spinning, weawing and finishing textiles"
65355,"Fabrics,woven contain.85% of contin.regener.t.mat.",3211,"Spinning, weawing and finishing textiles"
65356,"Fabricc,woven of continuous regener.text.materials",3211,"Spinning, weawing and finishing textiles"
65381,"Fabrics,mixed mainly or solely with cotton",3211,"Spinning, weawing and finishing textiles"
65382,"Fabrics,mixed mainly solely with wool,fin.ani.hair",3211,"Spinning, weawing and finishing textiles"
65383,"Fabrics,mixed with contin.man-made text.materials",3211,"Spinning, weawing and finishing textiles"
65389,"Fabrics,mixed with fibres oth.than cotton,wool etc",3211,"Spinning, weawing and finishing textiles"
65397,Pile fabrics synthetic,3211,"Spinning, weawing and finishing textiles"
65398,Pile fabrics regenerated,3211,"Spinning, weawing and finishing textiles"
65421,Fabrics of >85% carded wool or carded fine an.hair,3211,"Spinning, weawing and finishing textiles"
65422,Fabrics of >85% combed wool or combed fine an.hair,3211,"Spinning, weawing and finishing textiles"
